PoliceStationID,UnitName,DistrictName,VelocityScore,SeverityScore,RepeatScore,RiskScore,RiskTier
47,Shimoga PS-4,Shimoga,78.29357661749334,43.64266127868379,87.68105480968191,68.5,High
28,Bijapur PS-1,Bijapur,100.0,41.92919242339095,47.56370297268707,66.6,High
41,Kodagu PS-3,Kodagu,79.94248491160994,59.64497041420118,54.21812696942997,66.4,High
14,Belgaum PS-2,Belgaum,59.71256770323408,40.266646693131584,93.88581764451125,61.4,Medium
32,Dharwad PS-2,Dharwad,68.45723506524031,56.97791889161494,50.49711638225149,59.9,Medium
26,Tumkur PS-2,Tumkur,58.19123965575741,53.21266968325791,71.50975655026612,59.8,Medium
46,Shimoga PS-3,Shimoga,30.492384154057223,100.0,49.57180178543986,59.6,Medium
8,Mysore PS-2,Mysore,80.56071783463058,40.93282283327531,49.624000944919096,59.0,Medium
49,Raichur PS-1,Raichur,34.02709297717191,57.13119771475209,100.0,58.6,Medium
34,Dharwad PS-4,Dharwad,41.0270551540126,55.692592856633624,87.68105480968191,57.8,Medium
22,Bellary PS-1,Bellary,55.492804691929095,25.192510334765334,99.88546435256936,56.0,Medium
25,Tumkur PS-1,Tumkur,62.38575148119095,13.958012482775384,93.41851333059104,53.2,Medium
18,Gulbarga PS-1,Gulbarga,47.9362976698907,29.1060291060291,87.68105480968191,51.3,Medium
33,Dharwad PS-3,Dharwad,57.190317008579164,28.402366863905314,67.85380514951301,49.8,Medium
13,Belgaum PS-1,Belgaum,55.12567770744066,11.80473372781065,87.68105480968191,48.1,Medium
45,Shimoga PS-2,Shimoga,25.69646293461893,50.84676596612935,77.73002007457829,47.5,Medium
23,Bellary PS-2,Bellary,77.95926418450603,0.0,63.9303732300041,47.2,Medium
7,Mysore PS-1,Mysore,55.69987408755153,31.02339065168182,53.99805656346557,46.6,Medium
2,Bangalore Urban PS-1,Bangalore Urban,39.72739312870614,40.34806822137138,61.86403462280465,45.5,Medium
52,Raichur PS-4,Raichur,50.25236187762273,42.70355862988581,39.98531267064606,45.0,Medium
10,Dakshina Kannada PS-1,Dakshina Kannada,38.01120718036517,38.16568047337278,62.7085287712699,44.2,Medium
58,Hassan PS-2,Hassan,82.6575902858614,30.157569310551153,0.0,43.6,Medium
15,Belgaum PS-3,Belgaum,62.516359621311764,37.27810650887573,17.79991338241663,42.5,Medium
11,Dakshina Kannada PS-2,Dakshina Kannada,38.49233741769461,33.87479742207816,55.76430428661151,41.2,Medium
5,Bangalore Urban PS-4,Bangalore Urban,13.767391604817107,52.81065088757395,61.86403462280465,39.5,Medium
51,Raichur PS-3,Raichur,37.580859653758736,17.244294167371084,71.54867143912567,39.0,Medium
54,Chitradurga PS-1,Chitradurga,50.78832652881561,31.175379013339864,30.966972596807008,39.0,Medium
37,Udupi PS-2,Udupi,23.876721789624032,30.69961712495649,73.05993050582667,38.6,Medium
16,Belgaum PS-4,Belgaum,15.798098762101128,41.420118343195256,68.50269695657309,37.9,Medium
20,Gulbarga PS-3,Gulbarga,43.956692093647014,9.258614688478941,66.96157891480541,37.6,Medium
44,Shimoga PS-1,Shimoga,29.079478384995788,43.64266127868379,41.12393781454877,37.2,Medium
59,Hassan PS-3,Hassan,54.128743811391644,9.581521351678903,47.92284372189093,37.0,Medium
50,Raichur PS-2,Raichur,25.35506573752605,40.266646693131584,50.49711638225149,36.9,Medium
31,Dharwad PS-1,Dharwad,71.63233832575078,14.201183431952657,8.941740525439341,35.9,Medium
39,Kodagu PS-1,Kodagu,65.67217741675184,16.972146052821472,8.209092473169314,34.3,Medium
19,Gulbarga PS-2,Gulbarga,17.881141489686126,49.23076923076922,34.64918682359922,33.0,Low
36,Udupi PS-1,Udupi,44.07488301504753,11.422691021353227,44.18374833871345,32.7,Low
60,Hassan PS-4,Hassan,34.337212382149914,7.5134168157423975,54.667927360246495,30.0,Low
29,Bijapur PS-2,Bijapur,13.139606857671298,20.94275646566053,67.92542197102802,29.6,Low
3,Bangalore Urban PS-2,Bangalore Urban,51.14233071279688,4.29541968003506,29.329880916180596,29.3,Low
4,Bangalore Urban PS-3,Bangalore Urban,18.47519244253725,36.62410464029896,34.116500649631874,28.7,Low
42,Kodagu PS-4,Kodagu,23.99474895754569,22.236063531610082,45.023310320230294,28.6,Low
55,Chitradurga PS-2,Chitradurga,5.94106821395973,31.175379013339864,52.86209443559113,26.5,Low
40,Kodagu PS-2,Kodagu,16.01608928476698,29.343409139516634,15.864225402295675,20.6,Low
57,Hassan PS-1,Hassan,0.0,25.33936651583711,38.64665878524692,18.5,Low
